STT,Chủ đề,Nhóm từ khóa,Từ khóa,Volume,18/9,17/9,11/9,29/8,20/8,1/8,VỊ TRÍ LÚC CAO NHẤT,NGÀY ĐẠT CAO NHẤT,18/9 SO VỚI LÚC CAO NHẤT (số bậc đã mất),Vị trí TB,Giữ top (%),Số ngày Top10,Δ 18/9 vs 17/9,Δ 18/9 vs 20/8,Chênh đợt tụt 29/8→18/9,Trạng thái 18/9,Phân loại theo đợt tụt,Trang đang xếp hạng,Đúng/Sai trang đích,Nhận định
96,Nhân sự,Nhân sự - thể loại - cấp cao - quy trình tuyển dụng,quy trình tuyển dụng nhân sự cấp cao,10,3,3,3,2,3,3,1,12/08,2,3.27,84.6,11,0,0,1,Đứng yên,Gần như không đổi,/vi/tin-tuc/quy-trinh-tuyen-dung-nhan-su-cap-cao/,Đúng,Ổn định
97,Nhân sự,Nhân sự - thể loại - thuê ngoài-  công ty,các công ty cho thuê nhân sự ngoài,10,11,1,12,37,15,1,1,01/08,10,11.27,84.6,4,10,-4,-26,Tụt mạnh,Tăng mạnh trong đợt,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,SAI - Google chọn trang khác,Biến động thị trường
98,Nhân sự,Nhân sự - thể loại - thuê ngoài-  công ty,công ty cho thuê ngoài nhân sự,10,12,10,9,3,8,8,3,21/08,9,7.73,84.6,10,2,4,9,Tụt nhẹ,RỚT KHỎI TOP 10 trong đợt tụt,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,SAI - Google chọn trang khác,Biến động thị trường
99,Nhân sự,Nhân sự - thể loại - thuê ngoài-  công ty,công ty thuê ngoài nhân sự,10,9,9,13,3,10,2,2,01/08,7,8.18,84.6,9,0,-1,6,Đứng yên,Tụt mạnh trong đợt,/vi/tin-tuc/dich-vu-thue-ngoai-nhan-su/,Đúng,Ổn định
100,Nhân sự,Nhân sự - tính lương - bảo mật,bảo mật thông tin về tiền lương,,1,1,1,1,1,1,1,01/08,0,1.0,84.6,11,0,0,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/bao-mat-thong-tin-ve-tien-luong/,Đúng,Ổn định
101,Nhân sự,Nhân sự - tính lương - cách tính,tính lương hàng tháng theo hợp đồng,,2,3,3,3,8,5,2,09/08,0,4.27,84.6,11,-1,-6,-1,Đứng yên,Gần như không đổi,/vi/tin-tuc/tinh-luong-hang-thang-theo-hop-dong/,Đúng,Ổn định
102,Nhân sự,Nhân sự - tính lương - cách tính hộ,tính lương hộ,,1,3,3,3,1,,1,20/08,0,3.0,61.5,8,-2,0,-2,Tăng nhẹ,Gần như không đổi,/vi/tin-tuc/tinh-luong-ho/,Đúng,Mình đang lên
103,Nhân sự,Nhân sự - tính lương - phần mềm,top phần mềm tính lương,,20,37,32,29,30,31,20,18/09,0,30.5,76.9,0,-17,-10,-9,Tăng mạnh,Tăng mạnh trong đợt,/vi/tin-tuc/top-phan-mem-tinh-luong/,Đúng,Mình đang lên
104,Nhân sự,Nhân sự -quản  lý - hệ thóng,hệ thống quản lý nhân sự,,,,31,9,37,,9,29/08,MẤT HẲN,29.5,46.2,1,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/he-thong-quan-ly-nhan-su/,Đúng,Mất thứ hạng 18/9
105,Thương hiệu,Thương hiệu,công ty hr2b,90,1,1,1,1,1,1,1,01/08,0,1.0,92.3,12,0,0,0,Đứng yên,Gần như không đổi,/vi/,Đúng,Ổn định
106,Thương hiệu,Thương hiệu,Công ty nhân sự HR2B,10,1,1,1,1,1,1,1,01/08,0,1.0,92.3,12,0,0,0,Đứng yên,Gần như không đổi,/vi/,Đúng,Ổn định
107,Thương hiệu,Thương hiệu,Công ty nhân sự HR2B uy tín,,1,1,1,1,1,1,1,01/08,0,1.0,92.3,12,0,0,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,SAI - Google chọn trang khác,Ổn định
108,Thương hiệu,Thương hiệu,Công ty tuyển dụng nhân sự cấp quản lý HR2B,,1,1,1,1,1,1,1,01/08,0,1.0,92.3,12,0,0,0,Đứng yên,Gần như không đổi,/vi/,Đúng,Ổn định
109,Thương hiệu,Thương hiệu,Dịch vụ cho thuê nhân sự HR2B,,1,1,1,1,1,1,1,01/08,0,1.0,92.3,12,0,0,0,Đứng yên,Gần như không đổi,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,SAI - Google chọn trang khác,Ổn định
