"TỔNG HỢP THEO NHÓM TỪ KHÓA — ĐỊNH HƯỚNG NỘI DUNG: BÀI NÀO LÊN TOP, BÀI CỦA MÌNH, BÀI NÀO RỚT"
"So mốc 21/08 với 18/09. Tiêu đề là tiêu đề thật, lấy trực tiếp từ trang (336/359 trang lấy được; số còn lại chặn bot nên để trống)."
"Kiểu nội dung do máy xếp từ tiêu đề + đường dẫn, không phải đọc hết bài. Dùng để nhìn xu hướng, không dùng làm kết luận tuyệt đối."

Chủ đề,Nhóm từ khóa,Số key,Số bài LÊN,Số bài RỚT,KIỂU CONTENT LÊN TOP,VÍ DỤ BÀI LÊN TOP (tiêu đề thật),CONTENT CỦA MÌNH (trang HR2B đang xếp hạng),KIỂU CONTENT CỦA MÌNH,KIỂU CONTENT RỚT TOP,VÍ DỤ BÀI RỚT TOP (tiêu đề thật),KEY HR2B LÊN,KEY HR2B TỤT,KEY ĐỨNG YÊN,KEY NGOÀI BẢNG,CHỐT NHÓM,KEY ĐÃ LÊN (tên),KEY ĐÃ TỤT (tên)
Nhân sự,Nhân sự - dịch vụ - tuyển dụng - ENG,2,1,2,Trang chủ thương hiệu (1),"""EV Search - Professional Recruitment Consultancy and HR Outsourcing Service in"" — ev-search.com","""Top 6 headhunter companies in Vietnam for executive recruitm"" — hr2b.com/news/headhunter-company-in-vietnam/","Tổng hợp / xếp hạng ""top công ty""",Khác / không rõ (1) · Trang dịch vụ (chào bán) (1),"""Executive Search & Recruitment Vietnam: Talent Solutions | Elitez"" — elitez.asia",1,0,0,1,"GIỮ ĐƯỢC: lên 1/2 key, tụt 0. Hướng nội dung đang đúng",executive search vietnam,
Nhân sự,Nhân sự - dịch vụ - tuyển dụng - cấp cao,2,2,2,Trang việc làm / hồ sơ công ty (1) · Khác / không rõ (1),"""Tuyển dụng 729 việc làm Nhân sự lương cao, phúc lợi tốt, mới nhất 18/09/2026"" — vietnamworks.com","""Dịch vụ tuyển dụng nhân sự cấp cao"" — hr2b.com/vi/dich-vu/dich-vu-tuyen-dung-cap-cao/",Trang dịch vụ (chào bán),Trang dịch vụ (chào bán) (2),"""Dịch vụ tuyển dụng, cung ứng nhân sự cấp cao"" — sotalent.vn | ""Dịch vụ tuyển dụng nhân sự cấp cao"" — hr2b.com",0,1,1,0,"MẤT ĐẤT: tụt 1/2 key, chỉ lên 0. Nhóm cần xem lại trước",,tuyển dụng nhân sự cấp cao
Nhân sự,Nhân sự - dịch vụ - tính lương,2,6,6,Hướng dẫn / mẫu biểu / công thức (3) · Trang dịch vụ (chào bán) (1),"""Dịch vụ tiền lương thuê ngoài | Dich vu tien luong thue ngoai"" — ketoansaovang.com.vn | ""Hướng dẫn hạch toán chi phí nhân công thuê ngoài, cách tối ưu thuế và BHXH"" — amis.misa.vn | ""Dịch vụ tính lương thuê ngoài - Xu hướng mới trong thời đại số"" — l-a.com.vn","""Dịch vụ tính lương thuê ngoài chuyên nghiệp, uy tín"" — hr2b.com/vi/tin-tuc/dich-vu-tinh-luong-thue-ngoai/ | ""Dịch vụ tính lương là gì? Lợi ích & bảng giá mới nhất 2026"" — hr2b.com/vi/tin-tuc/dich-vu-tinh-luong/","Giải nghĩa khái niệm ""… là gì"" · Hướng dẫn / mẫu biểu / công thức",Hướng dẫn / mẫu biểu / công thức (2) · Văn bản luật / biểu mẫu (1),"""Dịch vụ tính lương tại Việt Nam: Hướng dẫn 2026 về quy định, quy trình và dịch"" — luatvietan.vn | ""Mẫu bảng thanh toán tiền thuê ngoài ( Dùng cho thuê nhân công, thuê khoán việc"" — ketoanleanh.edu.vn | ""Dịch vụ tính lương thuê ngoài chuyên nghiệp, uy tín"" — hr2b.com",1,1,0,0,"GIẰNG CO: lên 1, tụt 1 — bằng nhau",dịch vụ tính lương thuê ngoài,tính lương thuê ngoài
Nhân sự,Nhân sự - dịch vụ - tính lương - ENG,3,4,4,"Khác / không rõ (3) · Tổng hợp / xếp hạng ""top công ty"" (1)","""Payroll Services in Vietnam (2026 Guide for Foreign Companies)"" — vietanlaw.com | ""Top 10 recommended payroll services in Vietnam 2026"" — hr2b.com | ""Professional Payroll Services in Vietnam | VINA TPT"" — vinatpt.com","""Top 10 recommended payroll services in Vietnam 2026"" — hr2b.com/news/payroll-services-in-vietnam/","Tổng hợp / xếp hạng ""top công ty""","Hướng dẫn / mẫu biểu / công thức (2) · Tổng hợp / xếp hạng ""top công ty"" (2)","""Dịch Vụ Tính Lương (Payroll) Chuyên Nghiệp | Talentnet Việt Nam"" — talentnetgroup.com | ""Top 7 công ty cung cấp dịch vụ Payroll Outsourcing tại Việt Nam cho doanh nghi"" — reco-vn.com | ""TOP 10 Best Payroll Outsourcing Companies Recommended In 2026"" — morsoftware.com",1,1,0,1,"GIẰNG CO: lên 1, tụt 1 — bằng nhau",payroll provider vietnam,payroll services in vietnam
Nhân sự,Nhân sự - hợp đồng - thuê ngoài,1,1,1,Thảo luận mạng xã hội (1),,"""Tải miễn phí mẫu hợp đồng thuê nhân sự ngoài chuẩn mới 2026"" — hr2b.com/vi/tin-tuc/hop-dong-thue-nhan-su-ngoai/",Hướng dẫn / mẫu biểu / công thức,Văn bản luật / biểu mẫu (1),"""Mẫu hợp đồng thuê nhân sự ngoài - Mauhopdong.vn"" — mauhopdong.vn",0,0,1,0,ĐỨNG YÊN: 1/1 key không đổi,,
Nhân sự,Nhân sự - kế hoạch - nguồn nhân lực,1,2,2,"Giải nghĩa khái niệm ""… là gì"" (2)","""HOẠCH ĐỊNH NGUỒN NHÂN LỰC (WORKFORCE PLANNING): KHÁI NIỆM, VAI TRÒ, QUY TRÌNH "" — linkpower.vn | ""SHRM - KẾ HOẠCH NHÂN SỰ LÀ GÌ? NỘI DUNG VÀ CÁC BƯỚC THIẾT LẬP"" — pace.edu.vn","""Kế hoạch nguồn nhân lực là gì? 6 bước lập kế hoạch hiệu quả"" — hr2b.com/vi/tin-tuc/ke-hoach-nguon-nhan-luc-la-gi/","Giải nghĩa khái niệm ""… là gì""","Khác / không rõ (1) · Giải nghĩa khái niệm ""… là gì"" (1)","""Forbidden"" — irdm.edu.vn | ""Hoạch định nguồn nhân lực là gì? Quy trình, nguyên tắc và ví dụ"" — blog.slimcrm.vn",0,1,0,0,"MẤT ĐẤT: tụt 1/1 key, chỉ lên 0. Nhóm cần xem lại trước",,kế hoạch nguồn nhân lực là gì
Nhân sự,Nhân sự - phần mềm - tính lương - ENG,1,3,3,Khác / không rõ (2) · Phần mềm / công cụ (1),"""HR Payroll System Vietnam | BHXH Cloud HRIS | Asia Payroll Hub"" — asiapayrollhub.com | ""Vietnam payroll services - Payroll Services For Businesses in Vietnam"" — vinabookkeeping.com | ""Professional Payroll Services in Vietnam | VINA TPT"" — vinatpt.com","""Top 6 payroll software Vietnam solutions for businesses"" — hr2b.com/news/payroll-software-vietnam/","Tổng hợp / xếp hạng ""top công ty""",Phần mềm / công cụ (2) · Hướng dẫn / mẫu biểu / công thức (1),"""Dịch Vụ Tính Lương (Payroll) Chuyên Nghiệp | Talentnet Việt Nam"" — talentnetgroup.com | ""MiHCM | Best HR Software in Vietnam | HR & Payroll Software"" — mihcm.com",0,1,0,0,"MẤT ĐẤT: tụt 1/1 key, chỉ lên 0. Nhóm cần xem lại trước",,payroll software vietnam
Nhân sự,Nhân sự - so sánh - outsource & staffing,1,3,3,Trang dịch vụ (chào bán) (1) · Khác / không rõ (1),"""Human Resources Outsourcing Services | Staffing Solutions | Talentnet Vietnam"" — talentnetgroup.com | ""HR Outsourcing and Staffing: How They Work Together"" — abroadworks.com","""Hr outsource and staffing: Definition, types and benefits"" — hr2b.com/news/hr-outsource-and-staffing/",Bài blog kiến thức,"Khác / không rõ (2) · Giải nghĩa khái niệm ""… là gì"" (1)","""When Should Your Business Outsource HR Services? | NIC Global"" — nicvn.com | ""Security Check - Indeed.com"" — indeed.com | ""What is HRO (Human Resource outsourcing)?"" — peopleforce.io",0,0,1,0,ĐỨNG YÊN: 1/1 key không đổi,,
Nhân sự,Nhân sự - thể loại - cấp cao,1,2,2,Khác / không rõ (1) · Văn bản luật / biểu mẫu (1),"""39 nhân sự lãnh đạo cấp cao của Nhà nước sẽ được Quốc hội bầu, phê chuẩn vào t"" — thanhtra.com.vn","""Nhân sự cấp cao là gì? 7 vị trí C-level quan trọng hiện nay"" — hr2b.com/vi/tin-tuc/nhan-su-cap-cao-la-gi/","Giải nghĩa khái niệm ""… là gì""",Khác / không rõ (2),"""Thế nào là một nhân sự cao cấp? | Cẩm nang tuyển dụng"" — careerviet.vn",0,0,1,0,ĐỨNG YÊN: 1/1 key không đổi,,
Nhân sự,Nhân sự - thể loại - cấp cao - quy trình tuyển dụng,1,2,1,Hướng dẫn / mẫu biểu / công thức (1) · Khác / không rõ (1),"""Quy trình tuyển dụng nhân sự 7 bước hiệu quả cho doanh nghiệp"" — fast.com.vn | ""Làm Thế Nào Để Tuyển Dụng Quản Lý Cấp Cao? - SKALE - Nền tảng công nghệ nhân s"" — skale.asia","""Quy trình tuyển dụng nhân sự cấp cao chỉ với 7 bước cơ bản"" — hr2b.com/vi/tin-tuc/quy-trinh-tuyen-dung-nhan-su-cap-cao/",Hướng dẫn / mẫu biểu / công thức,Hướng dẫn / mẫu biểu / công thức (1),"""XÂY DỰNG QUY TRÌNH TUYỂN DỤNG NHÂN SỰ CHUYÊN NGHIỆP CHO DOANH NGHIỆP"" — careers.langmaster.edu.vn",0,0,1,0,ĐỨNG YÊN: 1/1 key không đổi,,
Nhân sự,Nhân sự - thể loại - thuê ngoài-  công ty,3,0,0,,,"""Dịch vụ thuê ngoài nhân sự (Staffing Outsourcing)"" — hr2b.com/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/ | ""Top 10 công ty dịch vụ thuê ngoài nhân sự uy tín Việt Nam"" — hr2b.com/vi/tin-tuc/dich-vu-thue-ngoai-nhan-su/","Trang dịch vụ (chào bán) · Tổng hợp / xếp hạng ""top công ty""",,,0,0,0,3,Cả nhóm nằm ngoài bảng theo dõi ở cả hai mốc — chưa đánh giá được,,
Nhân sự,Nhân sự - tính lương - bảo mật,1,2,1,Khác / không rõ (1) · Văn bản luật / biểu mẫu (1),"""Tiết lộ mức lương – HR phải làm gì để tiền lương không bị tiết lộ?"" — amis.misa.vn | ""Mẫu bản cam kết bảo mật tiền lương và hướng dẫn chi tiết"" — luatduonggia.vn","""Bảo mật thông tin về tiền lương: 6 yếu tố doanh nghiệp cần b"" — hr2b.com/vi/tin-tuc/bao-mat-thong-tin-ve-tien-luong/",Bài blog kiến thức,Thảo luận mạng xã hội (1),"""Studocu - Access Blocked"" — studocu.vn",0,0,1,0,ĐỨNG YÊN: 1/1 key không đổi,,
Nhân sự,Nhân sự - tính lương - cách tính,1,2,2,Thảo luận mạng xã hội (1) · Bài blog kiến thức (1),"""Các Hình Thức Trả Lương Theo Thời Gian Cho Người Lao Động"" — kmc.vn","""Cách tính lương hàng tháng theo hợp đồng đúng luật 2026"" — hr2b.com/vi/tin-tuc/tinh-luong-hang-thang-theo-hop-dong/",Hướng dẫn / mẫu biểu / công thức,Hướng dẫn / mẫu biểu / công thức (1) · Văn bản luật / biểu mẫu (1),"""CÁC HÌNH THỨC TÍNH LƯƠNG VÀ TRẢ LƯƠNG AI CŨNG PHẢI BIẾT - LinkPower"" — linkpower.vn | ""Cách tính lương: Hướng dẫn chi tiết cho từng hình thức trả lương"" — luatvietnam.vn",1,0,0,0,"GIỮ ĐƯỢC: lên 1/1 key, tụt 0. Hướng nội dung đang đúng",tính lương hàng tháng theo hợp đồng,
Nhân sự,Nhân sự - tính lương - cách tính hộ,1,6,5,Hướng dẫn / mẫu biểu / công thức (4) · Văn bản luật / biểu mẫu (1),"""Công Cụ Tính Lương Hưu Việt Nam 2026 | HAPRI"" — hapri.org | ""Cách Tính Lương Nhân Viên Hiệu Quả: Công Thức, Ví Dụ & Lưu Ý Quan Trọng"" — easyhrm.vn | ""CÁC HÌNH THỨC TÍNH LƯƠNG VÀ TRẢ LƯƠNG AI CŨNG PHẢI BIẾT - LinkPower"" — linkpower.vn","""Tính lương hộ: Công cụ tính lương trực tuyến miễn phí"" — hr2b.com/vi/tin-tuc/tinh-luong-ho/",Hướng dẫn / mẫu biểu / công thức,Văn bản luật / biểu mẫu (2) · Hướng dẫn / mẫu biểu / công thức (2),"""Hệ số lương cơ bản năm 2026"" — baohiemxahoidientu.vn | ""Cách tính lương hưu hằng tháng đơn giản và chính xác"" — luatvietnam.vn | ""Công cụ tính lương hưu dự kiến online 2026 - TGV-BHGD"" — muabhyt.vn",1,0,0,0,"GIỮ ĐƯỢC: lên 1/1 key, tụt 0. Hướng nội dung đang đúng",tính lương hộ,
Nhân sự,Nhân sự - tính lương - phần mềm,1,5,4,"Tổng hợp / xếp hạng ""top công ty"" (4) · Hướng dẫn / mẫu biểu / công thức (1)","""Top 10 phần mềm tính lương, chấm công hiệu quả & chính xác"" — ecount.com | ""Top 15+ phần mềm tính lương nhân viên tự động [Hướng dẫn lựa chọn]"" — 1office.vn | ""Đánh giá nhanh 8 phần mềm tính lương phổ biến HR & quản lý tham khảo"" — fastwork.vn","""Top 15 phần mềm tính lương tốt nhất cho doanh nghiệp 2026"" — hr2b.com/vi/tin-tuc/top-phan-mem-tinh-luong/","Tổng hợp / xếp hạng ""top công ty""","Hướng dẫn / mẫu biểu / công thức (3) · Tổng hợp / xếp hạng ""top công ty"" (1)","""15 Phần mềm tính lương nhân viên lâu đời chuẩn nghiệp vụ quản lý tiền lương"" — lacviet.vn | ""10 phần mềm tính lương hiệu quả phổ biến năm 2026"" — amis.misa.vn | ""Review top 7 phần mềm tính lương: Đánh giá ưu nhược điểm"" — mobiwork.vn",1,0,0,0,"GIỮ ĐƯỢC: lên 1/1 key, tụt 0. Hướng nội dung đang đúng",top phần mềm tính lương,
Nhân sự,Nhân sự -quản  lý - hệ thóng,1,1,1,"Tổng hợp / xếp hạng ""top công ty"" (1)","""Hệ thống HRM là gì? Top 10 hệ thống quản lý nhân sự hàng đầu hiện nay - Nhanh."" — nhanh.vn","""Hệ thống quản lý nhân sự là gì? 7 tiêu chí lựa chọn hiệu quả"" — hr2b.com/vi/tin-tuc/he-thong-quan-ly-nhan-su/","Giải nghĩa khái niệm ""… là gì""","Tổng hợp / xếp hạng ""top công ty"" (1)","""Quản lý nhân sự là gì? Quy trình & công cụ tốt nhất"" — ecount.com",0,1,0,0,"MẤT ĐẤT: tụt 1/1 key, chỉ lên 0. Nhóm cần xem lại trước",,hệ thống quản lý nhân sự
Thương hiệu,Thương hiệu,5,18,8,Khác / không rõ (5) · Trang việc làm / hồ sơ công ty (4),"""Glints - Firewall"" — glints.com | ""Vercel Security Checkpoint"" — freec.asia | ""Thông tin công ty & tin tuyển dụng tại CÔNG TY CỔ PHẦN TUYỂN DỤNG NHÂN TÀI"" — hr1tech.com","""Trang chủ - HR2B"" — hr2b.com/vi/ | ""Dịch vụ thuê ngoài nhân sự (Staffing Outsourcing)"" — hr2b.com/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/","Khác / không rõ · Trang dịch vụ (chào bán) · Tổng hợp / xếp hạng ""top công ty""",Thảo luận mạng xã hội (3) · Khác / không rõ (2),"""[HN] Công Ty HR2B Tuyển Dụng Chuyên Viên Tuyển Dụng Full-time 2019 - YBOX"" — ybox.vn | ""[HCM] Công Ty HR2B Tuyển Dụng Nhân Viên Hành Chính Nhân Sự Full-time 2026 - YB"" — ybox.vn | ""[HCM] Công Ty HR2B Tuyển Dụng Nhân Viên Tư Vấn Nhân Sự Full-time 2026 - YBOX"" — ybox.vn",0,0,5,0,ĐỨNG YÊN: 5/5 key không đổi,,
